Role,Features
Pediatric Speech Therapist,"4 to 10 Years Speech Therapist BBA Pediatric speech therapy Speech-language assessment Individualized treatment plans Child development Communication skills Assess and treat speech and language disorders in children. Provide therapy for articulation, language development, and communication skills. Collaborate with parents and educators. 52112"
Call Center Agent,4 to 8 Years Customer Service Representative B.Com Customer service Call center operations Problem-solving skills Handle incoming phone calls and provide information or assistance. Follow call scripts and procedures. Document and report call details. 86136
Supplier Diversity Manager,2 to 9 Years Procurement Manager PhD Supplier diversity programs Diversity and inclusion initiatives Supplier assessment and certification Data collection and reporting Vendor outreach and engagement Strategic planning Communication skills Relationship building Attention to diversity and inclusion principles Promote supplier diversity initiatives and inclusion. Identify and onboard diverse suppliers. Monitor compliance with diversity goals and regulations. 78750
Charge Nurse,5 to 10 Years Registered Nurse M.Tech Nursing leadership Charge nurse responsibilities Team coordination Supervise nursing staff and allocate patient assignments. Ensure compliance with nursing standards and protocols. Act as a resource for nursing-related issues. 109625
Family Counselor,5 to 10 Years Substance Abuse Counselor PhD Family counseling Marriage and family therapy Conflict resolution skills Work with the families of individuals facing substance abuse challenges. Provide education and therapy to improve family dynamics and support networks. Collaborate with treatment teams. 62295
DevOps Engineer,"2 to 10 Years Software Engineer PhD Automation and scripting (e.g., Python, Bash) Continuous Integration/Continuous Deployment (CI/CD) Containerization (e.g., Docker, Kubernetes) Infrastructure as Code (e.g., Terraform, Ansible) Cloud platforms (e.g., AWS, Azure, GCP) Monitoring and troubleshooting skills Configure and maintain continuous integration and deployment (CI/CD) pipelines, ensuring efficient software delivery. Automate and streamline development and deployment processes. Monitor and troubleshoot system issues. 12677"
Network Security Analyst,"2 to 11 Years Network Administrator B.Tech Network security protocols Intrusion detection and prevention Security incident response Firewall administration Vulnerability assessment Security policies and procedures Log analysis Ethical hacking Problem-solving Communication skills Attention to detail Manage and secure computer networks, including firewalls and intrusion detection systems. Monitor network traffic for security threats. Implement security policies and procedures. 54499"
Investment Analyst,"0 to 10 Years Financial Analyst M.Com Financial analysis Investment evaluation Portfolio management Data analysis Analyze financial data, research investment opportunities, and provide recommendations for investment decisions. Monitor financial markets and economic trends. Prepare investment reports and presentations. 76626"
Inside Sales Representative,"3 to 11 Years Sales Representative MBA Sales prospecting and lead generation Sales presentation and communication CRM software (e.g., Salesforce) Sales negotiation and closing techniques Product knowledge Relationship building Identify and qualify sales leads, conduct sales presentations, and close deals through phone and email. Maintain accurate sales records and reports. Provide excellent customer service throughout the sales process. 63404"
Data Business Analyst,"4 to 9 Years Business Analyst B.Tech Data analysis Data modeling Data visualization SQL Data tools (e.g., Tableau) Focus on data analysis, data modeling, and data visualization to support business decision-making. Develop and maintain data dictionaries and metadata. Collaborate with data engineers and analysts. 113425"
